Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,7.32,54912
6925,100,512,20,lex,0.59,54912
1000,100,128,20,lex,0.61,54912
6925,100,64,20,lex,0.46,54912
1000,1000,512,20,lex,0.79,54912
1000,1000,32,20,lex,1.17,54912
1000,100,32,20,lex,1.44,54912
1000,100,256,20,lex,0.62,54912
1000,100,1024,20,lex,0.68,54912
1000,1000,256,20,lex,0.72,54912
1000,1000,1024,20,lex,0.81,54912
1000,1000,64,20,lex,0.79,54912
6925,100,256,20,lex,0.78,54912
6925,100,32,20,lex,1.14,54912
1000,1000,128,20,lex,1.17,54912
6925,100,1024,20,lex,0.6,54912
6925,100,128,20,lex,0.78,54912
1000,100,512,20,lex,0.67,54912
1000,100,64,20,lex,0.68,54912
N/A,N/A,N/A,40,N/A,5.98,54912
1000,100,1024,40,lex,1.43,54912
1000,100,32,40,lex,1.19,54912
1000,100,256,40,lex,1.1,54912
1000,1000,512,40,lex,1.23,54912
1000,1000,32,40,lex,1.11,54912
6925,100,512,40,lex,1.11,54912
1000,100,128,40,lex,1.14,54912
6925,100,64,40,lex,1.15,54912
6925,100,128,40,lex,1.19,54912
6925,100,1024,40,lex,1.11,54912
1000,100,512,40,lex,1.13,54912
1000,100,64,40,lex,1.12,54912
1000,1000,128,40,lex,1.25,54912
6925,100,256,40,lex,1.19,54912
6925,100,32,40,lex,1.34,54912
1000,1000,256,40,lex,1.22,54912
1000,1000,1024,40,lex,1.24,54912
1000,1000,64,40,lex,1.32,54912
N/A,N/A,N/A,250,N/A,118.01,26400
6925,100,256,250,lex,6.06,26400
6925,100,128,250,lex,6.0,26400
1000,100,512,250,lex,5.18,26400
6925,100,1024,250,lex,6.01,26400
1000,100,1024,250,lex,6.22,26400
1000,1000,64,250,lex,6.23,26400
6925,100,32,250,lex,6.0,26400
1000,1000,128,250,lex,6.67,26400
1000,1000,256,250,lex,6.75,26400
1000,1000,32,250,lex,6.22,26400
6925,100,64,250,lex,5.55,26400
1000,100,64,250,lex,6.07,26400
1000,100,128,250,lex,6.18,26400
1000,100,256,250,lex,5.71,26400
6925,100,512,250,lex,6.05,26400
1000,100,32,250,lex,6.12,26400
1000,1000,512,250,lex,6.22,26400
1000,1000,1024,250,lex,6.49,26400
N/A,N/A,N/A,500,N/A,300.6,26400
1000,100,32,500,lex,16.45,26400
6925,100,512,500,lex,16.16,26400
1000,100,128,500,lex,16.55,26400
1000,100,256,500,lex,15.54,26400
1000,100,64,500,lex,16.04,26400
1000,1000,1024,500,lex,17.53,26400
1000,1000,512,500,lex,16.51,26400
1000,100,512,500,lex,15.84,26400
6925,100,256,500,lex,16.16,26400
6925,100,128,500,lex,16.56,26400
6925,100,64,500,lex,16.45,26400
1000,1000,32,500,lex,16.91,26400
1000,1000,128,500,lex,17.79,26400
1000,1000,256,500,lex,16.44,26400
6925,100,32,500,lex,16.14,26400
1000,1000,64,500,lex,16.58,26400
1000,100,1024,500,lex,19.98,26400
6925,100,1024,500,lex,16.05,26400